"dt_utc","ticker","source","title","url","time","diff"
"2025-12-03T06:58:00+00:00","NVDA","(Barrons.com)","Trump Closes in on Fed Chair Pick. It's a Boost for Cryptos and These Stocks.","https://www.barrons.com/articles/trump-fed-chair-pick-cryptos-stocks-things-to-know-today-34c6fa9b?mod=bar_FV","1764850680854","1"
"2025-12-03T19:40:00+00:00","NVDA","(Associated Press Finance)","Nvidia CEO Jensen Huang visits Republicans as debate over intensifying AI race rages","https://finance.yahoo.com/news/nvidia-ceo-jensen-huang-visits-004043302.html","1764850680854","1"
"2025-12-03T08:38:00+00:00","NVDA","(Zacks)","Taiwan Semiconductor Trading at a Discount: How to Play the Stock?","/news/244259/taiwan-semiconductor-trading-at-a-discount-how-to-play-the-stock","1764850680854","1"
"2025-12-03T17:23:00+00:00","NVDA","(MarketBeat)","Beyond NVIDIA: 5 Semiconductor Stocks Set to Dominate 2026","/news/244938/beyond-nvidia-5-semiconductor-stocks-set-to-dominate-2026","1764850680854","1"
"2025-12-03T17:01:00+00:00","NVDA","(TechCrunch)","Andy Jassy says Amazons Nvidia competitor chip is already a multibillion-dollar business","https://finance.yahoo.com/news/andy-jassy-says-amazon-nvidia-220113067.html","1764850680854","1"
"2025-12-03T17:33:00+00:00","NVDA","(TheStreet)","Morgan Stanley drops eye-popping price target on Nvidia stock","https://finance.yahoo.com/m/7cacce8b-643b-33fa-9cfb-88950f9757ea/morgan-stanley-drops.html","1764850680854","1"
"2025-12-03T10:23:00+00:00","NVDA","(Motley Fool)","Why Did CoreWeave Stock Plunge 45% in November?","/news/244426/why-did-coreweave-stock-plunge-45-in-november","1764850680854","1"
"2025-12-04T12:18:00+00:00","NVDA","(Insider Monkey)","Jim Cramer Highlights NVIDIA's Deal With Synopsys","/news/245063/jim-cramer-highlights-nvidias-deal-with-synopsys","1764850680854","1"
"2025-12-03T09:38:00+00:00","NVDA","(Investor's Business Daily)","ADP Jobs Report Shows Surprise Drop In Private Payrolls; S&P 500 Wavers","https://finance.yahoo.com/m/ca8161fe-4843-3f54-a578-f8721e165257/adp-jobs-report-shows.html","1764850680854","1"
"2025-12-03T07:34:00+00:00","NVDA","(Investor's Business Daily)","Tesla, Nvidia, Palantir On Wrong Side Of The Tracks. Why You Should Keep Watching Them.","https://www.investors.com/news/tesla-stock-nvidia-palantir-robinhood-keep-watching?mod=IBD_FV","1764850680854","1"
"2025-12-03T15:00:00+00:00","NVDA","(Zacks)","QBTS Soars 168% in 2025: Should You Buy for 2026 or Wait for Pullback?","/news/244837/qbts-soars-168-in-2025-should-you-buy-for-2026-or-wait-for-pullback","1764850680854","1"
"2025-12-03T06:00:00+00:00","NVDA","(Yahoo Finance Video)","Bitcoin's warning for Nvidia, AI stocks, and gold","https://finance.yahoo.com/video/bitcoins-warning-nvidia-ai-stocks-110043281.html","1764850680854","1"
"2025-12-03T15:09:00+00:00","NVDA","(Zacks)","Bears Calling the AI Top Might Be Early - Very Early","/news/244865/bears-calling-the-ai-top-might-be-early-very-early","1764850680854","1"
"2025-12-03T17:00:00+00:00","NVDA","(Bloomberg)","AI Bears Will Watch the Party Through the Window: Ives","https://finance.yahoo.com/video/ai-bears-watch-party-window-220040969.html","1764850680854","1"
"2025-12-03T12:04:00+00:00","NVDA","(TheStreet)","Forget Palantir, another AI stock is up 180% in 2025","https://finance.yahoo.com/m/76b727d2-d55b-30b7-8f5d-2dd2614004dc/forget-palantir%2C-another-ai.html","1764850680854","1"
"2025-12-03T09:41:00+00:00","NVDA","(Bloomberg)","Salesforces Stock Is Historically Cheap as AI Risk Takes a Toll","https://finance.yahoo.com/news/salesforce-stock-historically-cheap-ai-105843537.html","1764850680854","1"
"2025-12-03T19:05:00+00:00","NVDA","(Yahoo Finance Video)","Nvidia CEO talks China's importance, how 'formidable' Huawei is","https://finance.yahoo.com/video/nvidia-ceo-talks-chinas-importance-000500714.html","1764850680854","1"
"2025-12-03T05:30:00+00:00","NVDA","(The Wall Street Journal)","Nvidia's Fat Margins Are Google and AMD's Opportunity","https://www.wsj.com/tech/ai/nvidias-fat-margins-are-google-and-amds-opportunity-69591c66?mod=wsj_FV","1764850680854","1"
"2025-12-03T21:27:00+00:00","NVDA","(DigiTimes)","Commentary: Why Onsemi, STMicro, and Nvidia are all converging on Innoscience's GaN factory floor","https://www.digitimes.com/news/a20251204PD206/onsemi-gan-innoscience-nvidia-production.html","1764850680854","1"
"2025-12-03T09:55:00+00:00","NVDA","(Reuters)","Nebius leverages Microsoft, Meta contracts for AI expansion","https://finance.yahoo.com/news/nebius-leverages-microsoft-meta-contracts-145325509.html","1764850680854","1"
"2025-12-03T08:33:00+00:00","NVDA","(Bloomberg)","SEC Halts High-Leveraged ETF Plans in Warning Over Risks","https://finance.yahoo.com/news/sec-halts-high-leveraged-etf-015646794.html","1764850680854","1"
"2025-12-03T14:42:00+00:00","NVDA","(24/7 Wall St.)","AMDs Half-Price Cloud Strategy Narrows Gap With NVIDIA","https://finance.yahoo.com/m/52daccec-891c-3151-b128-c337c595f9b5/amd%E2%80%99s-half-price-cloud.html","1764850680854","1"
"2025-12-03T07:31:00+00:00","NVDA","(Barrons.com)","Nvidia Stock Gains. It Has This Key Advantage Over Amazon's New AI Chips.","https://www.barrons.com/articles/nvidia-stock-price-amazon-trainium-chips-4bb54874?mod=bar_FV","1764850680854","1"
"2025-12-03T12:27:00+00:00","NVDA","(Verdict)","Will Google TPUs dethrone Nvidia?","https://finance.yahoo.com/m/05f55974-dab8-394e-b1ba-678932b1c807/will-google-tpus-dethrone.html","1764850680854","1"
"2025-12-03T05:02:00+00:00","NVDA","(Insider Monkey)","Seaport Global Maintains Sell on NVIDIA (NVDA), Citing TPU Competition and Heavy Customer Commitments","/news/243875/seaport-global-maintains-sell-on-nvidia-nvda-citing-tpu-competition-and-heavy-customer-commitments","1764850680854","1"
"2025-12-03T21:50:00+00:00","NVDA","(DigiTimes)","Taiwan's President Lai draws on past semiconductor curbs as the US debates Nvidia sales to China","https://www.digitimes.com/news/a20251204VL205/taiwan-expansion-new-york-times-semiconductors-manufacturing.html","1764850680854","1"
"2025-12-03T17:04:00+00:00","NVDA","(Investor's Business Daily)","Stock Market Today: Dow Jumps On Jobs Report Jolt; AI Chip Stock Soars (Live Coverage)","https://finance.yahoo.com/m/ddfa19e7-aae0-39d6-8777-e46a18fcb72b/stock-market-today%3A-dow-jumps.html","1764850680854","1"
"2025-12-03T16:23:00+00:00","NVDA","(Reuters)","Intel says it will keep networking and communications unit","https://finance.yahoo.com/news/intel-keep-networking-communications-unit-212334275.html","1764850680854","1"
"2025-12-03T15:47:00+00:00","NVDA","(Yahoo Finance Video)","AI bubble talk isn't constructive as trade is in 'early innings'","https://finance.yahoo.com/video/ai-bubble-talk-isnt-constructive-204717405.html","1764850680854","1"
"2025-12-03T16:58:00+00:00","NVDA","(The Wall Street Journal)","Walmart Stock Rallies, Pushing Market Cap Above $900 Billion","https://finance.yahoo.com/m/087cf103-1d55-3b62-8a62-883fb95dcbae/walmart-stock-rallies%2C.html","1764850680854","1"
"2025-12-03T11:08:00+00:00","NVDA","(Motley Fool)","Amazon Just Delivered Interesting News for Nvidia Stock Investors","/news/244503/amazon-just-delivered-interesting-news-for-nvidia-stock-investors","1764850680854","1"
"2025-12-03T14:52:00+00:00","NVDA","(Motley Fool)","Amazon Is Expanding Its AI Chip Ambitions. Should Nvidia Investors Be Worried?","/news/244760/amazon-is-expanding-its-ai-chip-ambitions-should-nvidia-investors-be-worried","1764850680854","1"
"2025-12-03T13:04:00+00:00","NVDA","(Motley Fool)","Better Artificial Intelligence Stock: D-Wave Quantum vs. Nvidia","/news/244678/better-artificial-intelligence-stock-d-wave-quantum-vs-nvidia","1764850680854","1"
"2025-12-03T23:37:00+00:00","NVDA","(StockStory)","1 Volatile Stock Worth Your Attention and 2 We Avoid","/news/245138/1-volatile-stock-worth-your-attention-and-2-we-avoid","1764850680854","1"
"2025-12-03T15:05:00+00:00","NVDA","(Motley Fool)","Prediction: This AI Stock Will Be the Most Surprising Winner of 2026","/news/244768/prediction-this-ai-stock-will-be-the-most-surprising-winner-of-2026","1764850680854","1"
