symbol,timestamp,open,high,low,close,volume
MSFT,2025-09-25 04:00:00,510.0800,510.3100,509.8900,510.0600,393
MSFT,2025-09-25 04:01:00,510.1500,510.3900,510.1500,510.2900,256
MSFT,2025-09-25 04:02:00,510.3500,510.5000,510.2900,510.4200,850
MSFT,2025-09-25 04:03:00,510.4100,510.6100,510.3600,510.5700,536
MSFT,2025-09-25 04:04:00,510.5400,510.6900,510.4700,510.5100,191
MSFT,2025-09-25 04:05:00,510.4800,510.6900,510.2300,510.5400,1077
MSFT,2025-09-25 04:06:00,510.3300,510.5900,510.3300,510.4600,124
MSFT,2025-09-25 04:07:00,510.5200,510.6000,510.3100,510.3100,53
MSFT,2025-09-25 04:08:00,510.6000,510.6700,510.6000,510.6700,46
MSFT,2025-09-25 04:09:00,510.6600,510.7700,510.6000,510.7600,451
MSFT,2025-09-25 04:10:00,510.8500,510.8500,510.7100,510.7600,56
MSFT,2025-09-25 04:11:00,510.7600,510.8600,510.6800,510.7000,180
MSFT,2025-09-25 04:12:00,510.8100,510.8500,510.7000,510.8000,45
MSFT,2025-09-25 04:13:00,510.7300,510.9500,510.7300,510.9500,231
MSFT,2025-09-25 04:14:00,510.8400,510.8400,510.8000,510.8000,37
MSFT,2025-09-25 04:15:00,510.7300,510.8100,510.7300,510.7500,31
MSFT,2025-09-25 04:16:00,510.8400,510.8400,510.7500,510.7500,10
MSFT,2025-09-25 04:17:00,510.7600,510.8200,510.7400,510.7500,103
MSFT,2025-09-25 04:18:00,510.7600,510.7600,510.7600,510.7600,50
MSFT,2025-09-25 04:19:00,510.7500,510.8000,510.7300,510.7600,61
MSFT,2025-09-25 04:20:00,510.7300,510.7300,510.5500,510.5500,659
MSFT,2025-09-25 04:21:00,510.4300,510.5800,510.4100,510.5800,3
MSFT,2025-09-25 04:22:00,510.5000,510.5700,510.5000,510.5700,9
MSFT,2025-09-25 04:24:00,510.4100,510.4100,510.4100,510.4100,10
MSFT,2025-09-25 04:25:00,510.4700,510.5000,510.4000,510.5000,29
MSFT,2025-09-25 04:26:00,510.5000,510.5200,510.5000,510.5200,60
MSFT,2025-09-25 04:27:00,510.5000,510.5000,510.3700,510.4800,102
MSFT,2025-09-25 04:28:00,510.3900,510.5000,510.3500,510.3700,73
MSFT,2025-09-25 04:29:00,510.3500,510.3500,510.3500,510.3500,1
MSFT,2025-09-25 04:32:00,510.3700,510.3700,510.2500,510.2500,25
MSFT,2025-09-25 04:34:00,510.2400,510.3300,510.2400,510.2400,61
MSFT,2025-09-25 04:35:00,510.3300,510.3300,510.2500,510.2500,27
MSFT,2025-09-25 04:37:00,510.2800,510.2800,510.2500,510.2700,31
MSFT,2025-09-25 04:38:00,510.2500,510.2600,510.0900,510.2400,242
MSFT,2025-09-25 04:39:00,510.1400,510.2100,510.1400,510.1400,99
MSFT,2025-09-25 04:40:00,510.2600,510.2600,510.1300,510.2100,7
MSFT,2025-09-25 04:41:00,510.2400,510.2400,510.0700,510.0700,42
MSFT,2025-09-25 04:42:00,510.1200,510.1200,510.0700,510.1000,10
MSFT,2025-09-25 04:43:00,510.1100,510.1500,510.1100,510.1500,30
MSFT,2025-09-25 04:44:00,510.2100,510.2100,510.1000,510.1000,45
MSFT,2025-09-25 04:45:00,510.0600,510.0600,510.0600,510.0600,106
MSFT,2025-09-25 04:46:00,510.1900,510.3600,510.1000,510.2500,352
MSFT,2025-09-25 04:47:00,510.2500,510.2500,510.1000,510.1000,182
MSFT,2025-09-25 04:48:00,510.1700,510.2700,510.1400,510.1400,138
MSFT,2025-09-25 04:49:00,510.1400,510.1400,510.1400,510.1400,5
MSFT,2025-09-25 04:50:00,510.1400,510.1500,510.0800,510.0800,24
MSFT,2025-09-25 04:51:00,510.0800,510.0800,509.9100,509.9900,569
MSFT,2025-09-25 04:52:00,509.8100,509.8800,509.7600,509.7600,90
