"s","p","t","v","time","diff"
"BINANCE:BTCUSDT","112341.08","1761473359961","0.00085","1761473366134","1"
"BINANCE:BTCUSDT","112341.09","1761473360062","0.0005","1761473366134","1"
"BINANCE:BTCUSDT","112341.08","1761473360022","0.00052","1761473366134","1"
"BINANCE:BTCUSDT","112341.09","1761473359613","0.0023","1761473366134","1"
"BINANCE:BTCUSDT","112341.09","1761473361331","0.00024","1761473367134","1"
"BINANCE:BTCUSDT","112341.09","1761473361733","0.00208","1761473368136","1"
"BINANCE:BTCUSDT","112341.08","1761473363233","0.03","1761473369134","1"
"BINANCE:BTCUSDT","112341.09","1761473362848","0.00201","1761473369134","1"
"BINANCE:BTCUSDT","112341.09","1761473364175","0.00441","1761473370136","1"
"BINANCE:BTCUSDT","112341.09","1761473363813","0.00171","1761473370136","1"
"BINANCE:BTCUSDT","112341.08","1761473364341","0.00035","1761473370136","1"
"BINANCE:BTCUSDT","112341.08","1761473364342","0.00534","1761473370136","1"
"BINANCE:BTCUSDT","112341.08","1761473365245","0.00178","1761473371134","1"
"BINANCE:BTCUSDT","112341.09","1761473365127","0.00015","1761473371134","1"
"BINANCE:BTCUSDT","112341.08","1761473364717","0.00056","1761473371134","1"
"BINANCE:BTCUSDT","112341.09","1761473366144","0.03885","1761473372234","1"
"BINANCE:BTCUSDT","112341.09","1761473365890","0.00185","1761473372234","1"
"BINANCE:BTCUSDT","112341.08","1761473365725","0.00072","1761473372234","1"
"BINANCE:BTCUSDT","112341.09","1761473367023","0.00212","1761473373136","1"
"BINANCE:BTCUSDT","112341.08","1761473367196","0.00034","1761473373136","1"
"BINANCE:BTCUSDT","112341.09","1761473367972","0.0019","1761473374134","1"
"BINANCE:BTCUSDT","112341.08","1761473367926","0.00025","1761473374134","1"
"BINANCE:BTCUSDT","112341.09","1761473368040","7e-5","1761473374134","1"
"BINANCE:BTCUSDT","112341.09","1761473368728","0.002","1761473375134","1"
"BINANCE:BTCUSDT","112341.08","1761473369168","0.00089","1761473375134","1"
"BINANCE:BTCUSDT","112341.09","1761473369293","0.00039","1761473375134","1"
